state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,commodity_ml,commodity_ta,commodity_te,commodity_kn,commodity_hi
Assam,Darrang,Kharupetia,Bitter gourd,Bitter Gourd,04/03/2019,6000,6500,6400.0,Bitter gourd,Bitter gourd,Bitter gourd,Bitter gourd,Bitter gourd
Assam,Darrang,Kharupetia,Bottle gourd,Bottle Gourd,04/03/2019,800,900,850.0,Bottle gourd,Bottle gourd,Bottle gourd,Bottle gourd,Bottle gourd
Assam,Darrang,Kharupetia,Brinjal,Round,04/03/2019,800,900,850.0,Brinjal,Brinjal,Brinjal,Brinjal,Brinjal
Assam,Darrang,Kharupetia,Cabbage,Cabbage,04/03/2019,300,400,350.0,Cabbage,Cabbage,Cabbage,Cabbage,Cabbage
Assam,Darrang,Kharupetia,Carrot,Carrot,04/03/2019,1000,1100,1050.0,Carrot,Carrot,Carrot,Carrot,Carrot
Assam,Darrang,Kharupetia,Cauliflower,Local,04/03/2019,1400,1500,1450.0,Cauliflower,Cauliflower,Cauliflower,Cauliflower,Cauliflower
Assam,Darrang,Kharupetia,Cluster beans,Cluster Beans,04/03/2019,4000,4200,4100.0,Cluster beans,Cluster beans,Cluster beans,Cluster beans,Cluster beans
Assam,Darrang,Kharupetia,Cucumbar(Kheera),Cucumbar,04/03/2019,1500,1600,1550.0,Cucumbar(Kheera),Cucumbar(Kheera),Cucumbar(Kheera),Cucumbar(Kheera),Cucumbar(Kheera)
Assam,Darrang,Kharupetia,Field Pea,Field Pea,04/03/2019,2800,3000,2900.0,Field Pea,Field Pea,Field Pea,Field Pea,Field Pea
Assam,Darrang,Kharupetia,French Beans (Frasbean),French Beans (Frasbean),04/03/2019,2200,2300,2250.0,French Beans (Frasbean),French Beans (Frasbean),French Beans (Frasbean),French Beans (Frasbean),French Beans (Frasbean)
Assam,Darrang,Kharupetia,Green Chilli,Green Chilly,04/03/2019,3500,3700,3600.0,Green Chilli,Green Chilli,Green Chilli,Green Chilli,Green Chilli
Assam,Darrang,Kharupetia,Knool Khol,Knool Khol,04/03/2019,900,1000,950.0,Knool Khol,Knool Khol,Knool Khol,Knool Khol,Knool Khol
Assam,Darrang,Kharupetia,Potato,Badshah,04/03/2019,600,700,650.0,Potato,Potato,Potato,Potato,Potato
Assam,Darrang,Kharupetia,Pumpkin,Pumpkin,04/03/2019,600,700,650.0,Pumpkin,Pumpkin,Pumpkin,Pumpkin,Pumpkin
Assam,Darrang,Kharupetia,Raddish,Raddish,04/03/2019,800,900,850.0,Raddish,Raddish,Raddish,Raddish,Raddish
Assam,Darrang,Kharupetia,Tomato,Hybrid,04/03/2019,1100,1200,1150.0,Tomato,Tomato,Tomato,Tomato,Tomato
Assam,Dhubri,Gauripur,Black Gram (Urd Beans)(Whole),Black Gram (Whole),04/03/2019,4300,4425,4400.0,Black Gram (Urd Beans)(Whole),Black Gram (Urd Beans)(Whole),Black Gram (Urd Beans)(Whole),Black Gram (Urd Beans)(Whole),Black Gram (Urd Beans)(Whole)
Assam,Dhubri,Gauripur,Green Gram (Moong)(Whole),Green (Whole),04/03/2019,6300,6640,6400.0,Green Gram (Moong)(Whole),Green Gram (Moong)(Whole),Green Gram (Moong)(Whole),Green Gram (Moong)(Whole),Green Gram (Moong)(Whole)
Assam,Dhubri,Gauripur,Jute,TD-5,04/03/2019,2700,3700,2800.0,Jute,Jute,Jute,Jute,Jute
Assam,Dhubri,Gauripur,Maida Atta,Maida Atta,04/03/2019,2260,2550,2370.0,Maida Atta,Maida Atta,Maida Atta,Maida Atta,Maida Atta
Assam,Dhubri,Gauripur,Mustard,Mustard,04/03/2019,2300,2550,2400.0,Mustard,Mustard,Mustard,Mustard,Mustard
Assam,Dhubri,Gauripur,Rice,Fine,04/03/2019,3500,5000,4500.0,Rice,Rice,Rice,Rice,Rice
Assam,Dhubri,Gauripur,Rice,Medium,04/03/2019,1800,3000,2500.0,Rice,Rice,Rice,Rice,Rice
Assam,Dhubri,Gauripur,Wheat Atta,Wheat Atta,04/03/2019,2200,2400,2300.0,Wheat Atta,Wheat Atta,Wheat Atta,Wheat Atta,Wheat Atta
Assam,Jorhat,Jorhat,Garlic,Garlic,04/03/2019,3500,6000,5000.0,Garlic,Garlic,Garlic,Garlic,Garlic
Assam,Jorhat,Jorhat,Green Gram (Moong)(Whole),Green (Whole),04/03/2019,6200,6800,6600.0,Green Gram (Moong)(Whole),Green Gram (Moong)(Whole),Green Gram (Moong)(Whole),Green Gram (Moong)(Whole),Green Gram (Moong)(Whole)
Assam,Jorhat,Jorhat,Masur Dal,Masur Dal,04/03/2019,5200,6600,6200.0,Masur Dal,Masur Dal,Masur Dal,Masur Dal,Masur Dal
Assam,Jorhat,Jorhat,Onion,Onion,04/03/2019,1150,1250,1200.0,Onion,Onion,Onion,Onion,Onion
Assam,Jorhat,Jorhat,Potato,Potato,04/03/2019,500,580,550.0,Potato,Potato,Potato,Potato,Potato
Assam,Jorhat,Jorhat,Rice,Common,04/03/2019,2500,7000,3200.0,Rice,Rice,Rice,Rice,Rice
Assam,Jorhat,Jorhat,Wheat Atta,Wheat Atta,04/03/2019,2600,3200,2800.0,Wheat Atta,Wheat Atta,Wheat Atta,Wheat Atta,Wheat Atta
Assam,Kamrup,Pamohi(Garchuk),Bitter gourd,Bitter Gourd,04/03/2019,5000,6000,5500.0,Bitter gourd,Bitter gourd,Bitter gourd,Bitter gourd,Bitter gourd
Assam,Kamrup,Pamohi(Garchuk),Brinjal,Brinjal,04/03/2019,1200,1400,1300.0,Brinjal,Brinjal,Brinjal,Brinjal,Brinjal
Assam,Kamrup,Pamohi(Garchuk),Cabbage,Cabbage,04/03/2019,300,600,500.0,Cabbage,Cabbage,Cabbage,Cabbage,Cabbage
Assam,Kamrup,Pamohi(Garchuk),Carrot,Carrot,04/03/2019,700,1200,1000.0,Carrot,Carrot,Carrot,Carrot,Carrot
Assam,Kamrup,Pamohi(Garchuk),Cauliflower,Cauliflower,04/03/2019,1800,2000,1900.0,Cauliflower,Cauliflower,Cauliflower,Cauliflower,Cauliflower
Assam,Kamrup,Pamohi(Garchuk),Cucumbar(Kheera),Cucumbar,04/03/2019,1600,2200,2000.0,Cucumbar(Kheera),Cucumbar(Kheera),Cucumbar(Kheera),Cucumbar(Kheera),Cucumbar(Kheera)
Assam,Kamrup,Pamohi(Garchuk),Garlic,Garlic,04/03/2019,4000,5000,4500.0,Garlic,Garlic,Garlic,Garlic,Garlic
Assam,Kamrup,Pamohi(Garchuk),Green Chilli,Green Chilly,04/03/2019,1500,3000,1600.0,Green Chilli,Green Chilli,Green Chilli,Green Chilli,Green Chilli
Assam,Kamrup,Pamohi(Garchuk),Onion,Onion,04/03/2019,950,1150,1100.0,Onion,Onion,Onion,Onion,Onion
Assam,Kamrup,Pamohi(Garchuk),Potato,Potato,04/03/2019,600,750,700.0,Potato,Potato,Potato,Potato,Potato
Assam,Kamrup,Pamohi(Garchuk),Pumpkin,Pumpkin,04/03/2019,800,1000,900.0,Pumpkin,Pumpkin,Pumpkin,Pumpkin,Pumpkin
Assam,Kamrup,Pamohi(Garchuk),Raddish,Raddish,04/03/2019,1000,1200,1100.0,Raddish,Raddish,Raddish,Raddish,Raddish
Assam,Kamrup,Pamohi(Garchuk),Ridgeguard(Tori),Ridgeguard(Tori),04/03/2019,4000,4200,4100.0,Ridgeguard(Tori),Ridgeguard(Tori),Ridgeguard(Tori),Ridgeguard(Tori),Ridgeguard(Tori)
Assam,Kamrup,Pamohi(Garchuk),Tomato,Tomato,04/03/2019,1400,1500,1450.0,Tomato,Tomato,Tomato,Tomato,Tomato
Assam,Sonitpur,Dhekiajuli,Arecanut(Betelnut/Supari),Raw,04/03/2019,2000,2200,2200.0,Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari)
Assam,Sonitpur,Dhekiajuli,Arhar (Tur/Red Gram)(Whole),Other,04/03/2019,5700,5850,5850.0,Arhar (Tur/Red Gram)(Whole),Arhar (Tur/Red Gram)(Whole),Arhar (Tur/Red Gram)(Whole),Arhar (Tur/Red Gram)(Whole),Arhar (Tur/Red Gram)(Whole)
Assam,Sonitpur,Dhekiajuli,Brinjal,Other,04/03/2019,700,750,750.0,Brinjal,Brinjal,Brinjal,Brinjal,Brinjal
Assam,Sonitpur,Dhekiajuli,Cabbage,Other,04/03/2019,650,700,700.0,Cabbage,Cabbage,Cabbage,Cabbage,Cabbage
Assam,Sonitpur,Dhekiajuli,Green Chilli,Green Chilly,04/03/2019,1800,2000,2000.0,Green Chilli,Green Chilli,Green Chilli,Green Chilli,Green Chilli
Assam,Sonitpur,Dhekiajuli,Jute,TD-5,04/03/2019,3600,3900,3900.0,Jute,Jute,Jute,Jute,Jute
Assam,Sonitpur,Dhekiajuli,Maize,Other,04/03/2019,1700,1800,1800.0,Maize,Maize,Maize,Maize,Maize
Assam,Sonitpur,Dhekiajuli,Mustard,Other,04/03/2019,4000,4100,4100.0,Mustard,Mustard,Mustard,Mustard,Mustard
Assam,Sonitpur,Dhekiajuli,Rice,Common,04/03/2019,2200,2500,2400.0,Rice,Rice,Rice,Rice,Rice
Assam,Sonitpur,Dhekiajuli,Rice,Fine,04/03/2019,2700,2900,2800.0,Rice,Rice,Rice,Rice,Rice
Chattisgarh,Bastar,Jagdalpur,Dry Chillies,Dry,04/03/2019,4000,4410,4200.0,Dry Chillies,Dry Chillies,Dry Chillies,Dry Chillies,Dry Chillies
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),Other,04/03/2019,1500,1500,1500.0,Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common)
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),Other,04/03/2019,1500,1500,1500.0,Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common)
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),Other,04/03/2019,1500,1500,1500.0,Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common)
Chattisgarh,Surajpur,Pratappur,Groundnut,Other,04/03/2019,4900,4900,4900.0,Groundnut,Groundnut,Groundnut,Groundnut,Groundnut
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),Red,04/03/2019,19000,20000,19500.0,Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari)
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),Supari,04/03/2019,21500,23000,22250.0,Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari)
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),White,04/03/2019,20000,21000,20500.0,Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari),Arecanut(Betelnut/Supari)
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),Bhindi,04/03/2019,1450,1650,1550.0,Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger)
Gujarat,Amreli,Damnagar,Brinjal,Other,04/03/2019,1000,1200,1100.0,Brinjal,Brinjal,Brinjal,Brinjal,Brinjal
Gujarat,Amreli,Damnagar,Capsicum,Capsicum,04/03/2019,1200,1400,1300.0,Capsicum,Capsicum,Capsicum,Capsicum,Capsicum
Gujarat,Amreli,Damnagar,Guar,Gwar,04/03/2019,1500,1700,1600.0,Guar,Guar,Guar,Guar,Guar
Gujarat,Amreli,Damnagar,Lemon,Lemon,04/03/2019,1200,1400,1300.0,Lemon,Lemon,Lemon,Lemon,Lemon
Gujarat,Anand,Khambhat(Grain Market),Bajra(Pearl Millet/Cumbu),Other,04/03/2019,2040,2120,2080.0,Bajra(Pearl Millet/Cumbu),Bajra(Pearl Millet/Cumbu),Bajra(Pearl Millet/Cumbu),Bajra(Pearl Millet/Cumbu),Bajra(Pearl Millet/Cumbu)
Gujarat,Anand,Umreth,Bajra(Pearl Millet/Cumbu),Deshi,04/03/2019,1950,2025,2015.0,Bajra(Pearl Millet/Cumbu),Bajra(Pearl Millet/Cumbu),Bajra(Pearl Millet/Cumbu),Bajra(Pearl Millet/Cumbu),Bajra(Pearl Millet/Cumbu)
Gujarat,Anand,Umreth,Castor Seed,Castor seed,04/03/2019,4800,4950,4870.0,Castor Seed,Castor Seed,Castor Seed,Castor Seed,Castor Seed
Gujarat,Bharuch,Ankleshwar,Bhindi(Ladies Finger),Bhindi,04/03/2019,2750,3650,3425.0,Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger)
Gujarat,Bharuch,Ankleshwar,Bottle gourd,Bottle Gourd,04/03/2019,1400,2100,1850.0,Bottle gourd,Bottle gourd,Bottle gourd,Bottle gourd,Bottle gourd
Gujarat,Bharuch,Ankleshwar,Brinjal,Round,04/03/2019,425,875,650.0,Brinjal,Brinjal,Brinjal,Brinjal,Brinjal
Gujarat,Bharuch,Ankleshwar,Cabbage,Cabbage,04/03/2019,750,1000,925.0,Cabbage,Cabbage,Cabbage,Cabbage,Cabbage
Gujarat,Bharuch,Ankleshwar,Capsicum,Capsicum,04/03/2019,2150,3000,2600.0,Capsicum,Capsicum,Capsicum,Capsicum,Capsicum
Gujarat,Bharuch,Ankleshwar,Carrot,Carrot,04/03/2019,650,875,825.0,Carrot,Carrot,Carrot,Carrot,Carrot
Gujarat,Bharuch,Ankleshwar,Cauliflower,Local,04/03/2019,650,1500,1100.0,Cauliflower,Cauliflower,Cauliflower,Cauliflower,Cauliflower
Gujarat,Bharuch,Ankleshwar,Coriander(Leaves),Coriander,04/03/2019,550,1000,825.0,Coriander(Leaves),Coriander(Leaves),Coriander(Leaves),Coriander(Leaves),Coriander(Leaves)
Gujarat,Bharuch,Ankleshwar,Cowpea(Veg),Cowpea (Veg),04/03/2019,2750,3650,3425.0,Cowpea(Veg),Cowpea(Veg),Cowpea(Veg),Cowpea(Veg),Cowpea(Veg)
Gujarat,Bharuch,Ankleshwar,Cucumbar(Kheera),Cucumbar,04/03/2019,1500,2400,2175.0,Cucumbar(Kheera),Cucumbar(Kheera),Cucumbar(Kheera),Cucumbar(Kheera),Cucumbar(Kheera)
Gujarat,Bharuch,Ankleshwar,Drumstick,Drumstick,04/03/2019,2800,3700,3475.0,Drumstick,Drumstick,Drumstick,Drumstick,Drumstick
Gujarat,Bharuch,Ankleshwar,Elephant Yam (Suran),Elephant Yam (Suran),04/03/2019,2150,3000,2825.0,Elephant Yam (Suran),Elephant Yam (Suran),Elephant Yam (Suran),Elephant Yam (Suran),Elephant Yam (Suran)
Gujarat,Bharuch,Ankleshwar,Ginger(Green),Green Ginger,04/03/2019,5450,6350,6100.0,Ginger(Green),Ginger(Green),Ginger(Green),Ginger(Green),Ginger(Green)
Gujarat,Bharuch,Ankleshwar,Green Chilli,Green Chilly,04/03/2019,2600,3300,3000.0,Green Chilli,Green Chilli,Green Chilli,Green Chilli,Green Chilli
Gujarat,Bharuch,Ankleshwar,Indian Beans (Seam),Indian Beans (Seam),04/03/2019,1000,1700,1450.0,Indian Beans (Seam),Indian Beans (Seam),Indian Beans (Seam),Indian Beans (Seam),Indian Beans (Seam)
Gujarat,Bharuch,Ankleshwar,Lemon,Lemon,04/03/2019,3250,3950,3700.0,Lemon,Lemon,Lemon,Lemon,Lemon
Gujarat,Bharuch,Ankleshwar,Methi(Leaves),Methi,04/03/2019,600,1000,825.0,Methi(Leaves),Methi(Leaves),Methi(Leaves),Methi(Leaves),Methi(Leaves)
Gujarat,Bharuch,Ankleshwar,Onion Green,Onion Green,04/03/2019,1000,1400,1225.0,Onion Green,Onion Green,Onion Green,Onion Green,Onion Green
Gujarat,Bharuch,Ankleshwar,Peas cod,Peas cod,04/03/2019,1100,1500,1325.0,Peas cod,Peas cod,Peas cod,Peas cod,Peas cod
Gujarat,Bharuch,Ankleshwar,Pegeon Pea (Arhar Fali),Pigeon Pea (Arhar Fali),04/03/2019,2750,3650,3475.0,Pegeon Pea (Arhar Fali),Pegeon Pea (Arhar Fali),Pegeon Pea (Arhar Fali),Pegeon Pea (Arhar Fali),Pegeon Pea (Arhar Fali)
Gujarat,Bharuch,Ankleshwar,Sponge gourd,Sponge gourd,04/03/2019,1325,1725,1500.0,Sponge gourd,Sponge gourd,Sponge gourd,Sponge gourd,Sponge gourd
Gujarat,Bharuch,Ankleshwar,Surat Beans (Papadi),Surat Beans (Papadi),04/03/2019,2225,2625,2450.0,Surat Beans (Papadi),Surat Beans (Papadi),Surat Beans (Papadi),Surat Beans (Papadi),Surat Beans (Papadi)
Gujarat,Bharuch,Ankleshwar,Sweet Potato,Sweet Potato,04/03/2019,2225,3125,2900.0,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato
Gujarat,Bharuch,Ankleshwar,Tinda,Tinda,04/03/2019,2750,3450,3150.0,Tinda,Tinda,Tinda,Tinda,Tinda
Gujarat,Bharuch,Ankleshwar,Tomato,Tomato,04/03/2019,750,1650,1425.0,Tomato,Tomato,Tomato,Tomato,Tomato
Gujarat,Kachchh,Bachau,Guar Seed(Cluster Beans Seed),Whole,04/03/2019,4000,4025,4010.0,Guar Seed(Cluster Beans Seed),Guar Seed(Cluster Beans Seed),Guar Seed(Cluster Beans Seed),Guar Seed(Cluster Beans Seed),Guar Seed(Cluster Beans Seed)
Gujarat,Kheda,Nadiyad(Chaklasi),Potato,Potato,04/03/2019,600,800,700.0,Potato,Potato,Potato,Potato,Potato
Gujarat,Kheda,Nadiyad(Chaklasi),Sweet Potato,Sweet Potato,04/03/2019,1250,1650,1450.0,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato
Gujarat,Panchmahals,Gogamba,Arhar (Tur/Red Gram)(Whole),Other,04/03/2019,4800,4900,4850.0,Arhar (Tur/Red Gram)(Whole),Arhar (Tur/Red Gram)(Whole),Arhar (Tur/Red Gram)(Whole),Arhar (Tur/Red Gram)(Whole),Arhar (Tur/Red Gram)(Whole)
Gujarat,Panchmahals,Gogamba,Cotton,Other,04/03/2019,4500,4600,4550.0,Cotton,Cotton,Cotton,Cotton,Cotton
Gujarat,Panchmahals,Gogamba,Maize,Deshi White,04/03/2019,1850,1950,1900.0,Maize,Maize,Maize,Maize,Maize
Gujarat,Panchmahals,Gogamba,Paddy(Dhan)(Common),G. R. 11,04/03/2019,1500,1550,1525.0,Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common)
Gujarat,Panchmahals,Gogamba,Wheat,Other,04/03/2019,1850,1950,1900.0,Wheat,Wheat,Wheat,Wheat,Wheat
Gujarat,Panchmahals,Gogamba(Similiya),Bajra(Pearl Millet/Cumbu),Other,04/03/2019,1750,1850,1800.0,Bajra(Pearl Millet/Cumbu),Bajra(Pearl Millet/Cumbu),Bajra(Pearl Millet/Cumbu),Bajra(Pearl Millet/Cumbu),Bajra(Pearl Millet/Cumbu)
Gujarat,Panchmahals,Gogamba(Similiya),Maize,Deshi White,04/03/2019,1800,1900,1850.0,Maize,Maize,Maize,Maize,Maize
Gujarat,Panchmahals,Gogamba(Similiya),Paddy(Dhan)(Common),Other,04/03/2019,1400,1450,1425.0,Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common)
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,04/03/2019,600,1400,1150.0,Brinjal,Brinjal,Brinjal,Brinjal,Brinjal
Gujarat,Surat,Bardoli(Katod),Cabbage,Other,04/03/2019,700,1250,1100.0,Cabbage,Cabbage,Cabbage,Cabbage,Cabbage
Gujarat,Surat,Bardoli(Katod),Tomato,Other,04/03/2019,700,1600,1300.0,Tomato,Tomato,Tomato,Tomato,Tomato
Gujarat,Surat,Mandvi,Bhindi(Ladies Finger),Other,04/03/2019,3755,3755,3755.0,Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger)
Gujarat,Surat,Mandvi,Brinjal,Other,04/03/2019,600,1765,1182.0,Brinjal,Brinjal,Brinjal,Brinjal,Brinjal
Gujarat,Surat,Mandvi,Cowpea(Veg),Other,04/03/2019,1900,3955,2927.0,Cowpea(Veg),Cowpea(Veg),Cowpea(Veg),Cowpea(Veg),Cowpea(Veg)
Gujarat,Surat,Mandvi,Paddy(Dhan)(Common),Other,04/03/2019,1450,1500,1475.0,Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common)
Gujarat,Surat,Mandvi,Pegeon Pea (Arhar Fali),Other,04/03/2019,2010,4000,3005.0,Pegeon Pea (Arhar Fali),Pegeon Pea (Arhar Fali),Pegeon Pea (Arhar Fali),Pegeon Pea (Arhar Fali),Pegeon Pea (Arhar Fali)
Gujarat,Surat,Mandvi,Surat Beans (Papadi),Other,04/03/2019,2300,3995,3147.0,Surat Beans (Papadi),Surat Beans (Papadi),Surat Beans (Papadi),Surat Beans (Papadi),Surat Beans (Papadi)
Gujarat,Surat,Mandvi,Tomato,Other,04/03/2019,670,2105,1387.0,Tomato,Tomato,Tomato,Tomato,Tomato
Gujarat,Surat,S.Mandvi,Bhindi(Ladies Finger),Other,04/03/2019,3755,3755,3755.0,Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger)
Gujarat,Surat,S.Mandvi,Brinjal,Other,04/03/2019,600,1765,1182.0,Brinjal,Brinjal,Brinjal,Brinjal,Brinjal
Gujarat,Surat,S.Mandvi,Cowpea(Veg),Other,04/03/2019,1900,3955,2927.0,Cowpea(Veg),Cowpea(Veg),Cowpea(Veg),Cowpea(Veg),Cowpea(Veg)
Gujarat,Surat,S.Mandvi,Paddy(Dhan)(Common),Other,04/03/2019,1450,1500,1475.0,Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common)
Gujarat,Surat,S.Mandvi,Pegeon Pea (Arhar Fali),Other,04/03/2019,2010,4000,3005.0,Pegeon Pea (Arhar Fali),Pegeon Pea (Arhar Fali),Pegeon Pea (Arhar Fali),Pegeon Pea (Arhar Fali),Pegeon Pea (Arhar Fali)
Gujarat,Surat,S.Mandvi,Surat Beans (Papadi),Other,04/03/2019,2300,3995,3147.0,Surat Beans (Papadi),Surat Beans (Papadi),Surat Beans (Papadi),Surat Beans (Papadi),Surat Beans (Papadi)
